model,nafmfactor,kahfactor,hcnffactor,lvamvhalf,hvahslope,gnapbar,kamfactor,nafhslope,hvahfactor,nafhfactor,hvamslope,kdrnvhalf,hcnmifd,naphslope,gkdrbar,kahslope,nafhvhalf,hvamvhalf,kahvhalf,naphfactor,hcnratio,ghcnsbar,napmvhalf,kmmfactor,nafmvhalf,glvabar,napmfactor,lvamslope,kmvhalfl,lvahslope,gkmbar,naphvhalf,lvahvhalf,kamvhalf,kmkl,hvamfactor,CM,hvahvhalf,Rm,lvamfactor,nafmslope,ghvabar,kdrnfactor,napmslope,hcnsfactor,hcnmiso,gkabar,kamslope,gnafbar,hcnmisd,kdrnslope,gskbar,hcnmifo,tauca,lvahfactor
0,0.89001399,1.123463,0.94862801,-49.040756,9.364192,66470.633,0.878699,5.2723341,1.122735,1.086112,8.5422249,-18.291983,9.9197569,10.551832,6349267,9.4941053,-20.078032,6.7483482,-60.459911,1.061639,2.023145,24946.305,47.564972,1.093285,-26.081997,56644.848,0.87387401,8.8258181,-43.289959,7.409616,141094.48,53.591053,-88.147064,-18.064455,-10.283946,1.195786,1.0337141,36.26334,45251.82,0.90308499,9.628438,244910.3,0.93850899,3.8303051,0.821863,2.9337831,26325.611,15.691364,4765880,17.735865,15.910599,82152.094,69.711456,145.9541,1.155318
1,1.099553,1.021281,0.87996298,-57.088589,10.498348,55119.918,1.0254,6.7718992,1.1494091,0.89768702,7.2087641,-15.527504,10.792362,9.4044991,3702420,7.9054222,-28.326336,7.8599348,-62.112419,1.0373189,1.898006,29379.381,44.590256,0.86827999,-21.672049,49850.195,0.86329401,7.0452971,-35.822376,6.5237031,247801.7,45.326992,-92.03875,-22.547224,-8.7852602,0.86123103,0.90988499,33.940052,34537.453,1.160205,9.9616756,300758.06,1.062966,3.689965,0.95596498,1.165786,13037.66,13.293997,4499819.5,13.197544,17.605213,72941.492,76.816277,144.02496,0.884381
2,1.128196,1.127322,1.106693,-55.677082,9.4921713,47164.656,1.1054,6.905333,0.88534099,1.190701,7.064312,-21.433609,9.2612896,11.93583,5166699,7.9567819,-25.697306,7.472352,-54.380123,1.072757,1.969373,33993.273,49.073025,0.93103802,-26.910824,121644.06,1.024093,7.055284,-35.754616,6.5475798,98942.438,53.293652,-89.427849,-14.696797,-8.3149204,1.0420491,1.096969,39.730003,39889.738,1.081049,8.0379467,212880.12,1.086115,3.5693941,0.91680801,0.87456602,40517.57,15.741267,4232064,18.537762,18.675335,43522.504,70.543381,92.071106,1.11219
3,0.93917602,1.106138,1.179638,-52.118156,7.4786239,53740.496,0.81166399,7.0411201,0.87767798,1.170848,8.7158442,-16.666815,11.536838,9.0932426,3294883,8.7211876,-26.843889,8.6234379,-61.648155,0.87930697,1.818825,25548.438,45.248955,0.92176902,-21.853117,117120.19,0.82277101,9.0015154,-43.042316,7.9561491,143942.58,48.551788,-84.274239,-20.991226,-10.515346,0.978634,1.109675,34.309727,27627.904,1.092805,10.804036,202817.97,0.84996098,4.3998041,1.1742001,-1.079627,39753.305,17.001123,7248591,16.734398,18.599979,56136.258,73.493858,50.374409,0.86902797
4,0.90707803,1.0272501,0.957479,-53.618446,10.047886,61692.945,0.85774302,6.0143781,0.96119797,1.104616,8.0891533,-14.274671,11.302065,11.682151,3688265.2,8.5879364,-22.91803,10.98701,-53.651234,1.1020319,1.9504761,33043.145,46.608269,0.86948901,-24.560061,119018.12,0.83272201,9.0771255,-35.408234,5.540462,128869.42,51.345631,-88.710052,-14.337578,-8.4300299,0.99091899,0.85708398,35.510204,49065.25,0.90207899,9.9792728,239789.67,1.0058579,4.0557852,0.97622102,-0.32853699,23084.098,16.449194,5122954,14.89287,23.373537,53218.504,74.424149,154.9772,1.136602
5,1.137154,1.062423,1.084188,-56.851574,7.636158,57339.102,1.168084,5.6753402,1.1735539,0.87445599,7.791337,-18.064798,9.1166544,10.493268,1770970.2,9.8160028,-20.195023,14.759148,-57.420624,1.065861,2.015168,54115.621,47.228306,0.91562498,-22.454391,119058.68,1.061891,9.7225256,-39.58342,7.0347691,139880.55,49.646297,-89.61245,-18.438599,-10.603049,1.07222,1.2498519,41.255562,53162.25,0.886244,10.053238,193947.3,0.864375,4.6618872,0.87921798,0.01342,26247.746,14.605926,7485633,19.070992,21.743444,102729.42,75.809937,59.158203,0.89354199
6,1.115883,0.87839901,1.149726,-51.250149,7.3666949,66430.836,1.0574239,6.1587172,0.83191597,0.93197203,8.9007177,-22.388741,8.4522009,11.499802,2123429.5,7.002759,-21.46566,10.865723,-59.157768,0.82620102,1.569443,28268.143,45.496044,0.80638403,-24.662785,158273.42,1.111698,9.8303576,-38.80722,5.3563018,114586.27,45.578228,-84.256279,-17.939445,-9.874917,0.81818002,1.1999069,38.051952,74501.57,0.99644899,8.96276,294646.62,1.057075,3.8113511,1.184239,1.31952,48111.363,12.420757,8314366.5,12.983441,22.230349,28649.986,78.667694,139.82812,1.028963
7,1.09721,1.0890599,1.1325541,-54.834354,8.9896536,36320.582,1.096517,7.2789001,1.05179,1.158628,7.5748882,-14.756689,9.0368128,9.5398083,2631064,6.801796,-28.608154,8.1911192,-56.036865,0.96742201,2.0143781,34953.469,49.225845,0.801144,-23.245569,154803.09,1.113588,6.78405,-35.840557,6.7471581,171428.45,46.556915,-84.698906,-21.954512,-11.317353,0.82934397,1.188669,41.195827,60717.785,0.97438401,7.601017,256918.81,1.087323,4.4672761,0.82196599,2.0697241,16147.558,16.960892,5677138.5,13.968873,17.664598,77197.609,78.56102,90.322212,1.163869
8,1.022776,0.88617003,0.98290497,-55.413284,7.4596782,38697.551,1.155192,7.029912,1.0000401,0.96240002,8.3903427,-18.338774,10.508111,10.107487,4133807.5,8.2135925,-24.387486,11.093229,-56.817822,1.042518,1.998122,40602.199,46.456913,0.95108801,-25.160744,96700.094,0.89230901,9.6614952,-44.034611,6.3171721,69465.445,44.158352,-84.81636,-15.832909,-8.5182762,0.89290899,1.09038,38.213306,21082.762,1.140996,8.471467,137067.7,0.90930599,4.6457009,1.1394399,5.9041958,21102.754,16.408978,4598227,15.12939,22.101124,45441.879,71.163635,42.356529,0.82012099
9,1.199523,0.82995898,1.049692,-53.611065,10.145854,48654.355,1.0759161,5.6924462,1.177901,0.87211198,8.4774895,-17.097092,10.997457,10.576997,3773699.8,9.23493,-20.976063,11.499837,-57.445507,0.88861698,1.977777,38947.184,45.750584,1.104472,-26.751486,104448.3,1.100919,7.7600412,-38.184792,5.5996041,119854.58,47.994312,-86.359283,-18.006296,-11.604378,1.035358,0.78388202,41.544231,43585.465,0.96446002,8.8249226,242828.06,1.085728,4.2544861,1.0946,7.209054,15330.728,17.932873,2418853.8,15.016491,20.731125,99898.586,71.583923,74.322601,1.0117429
10,1.115724,0.99782503,0.988437,-51.780312,9.9435205,21909.172,1.188732,5.3776889,0.91328299,0.87367803,6.987463,-12.766879,10.175553,9.8996077,4485219.5,7.032495,-26.236406,10.442396,-55.994858,0.93316001,1.552102,39805.555,48.675999,0.95303899,-25.165485,143211.72,0.84839499,7.2448192,-40.923569,7.2840071,66054.461,47.911503,-92.059494,-23.187176,-9.0424833,0.871602,1.129156,35.749973,71106.594,0.96523899,8.9769258,210501.81,0.96305698,4.0053682,1.1554869,-1.871477,39782.738,16.06246,7464891,17.958958,16.092947,30415.945,74.860298,80.237389,0.80843502
11,0.96048898,0.82312602,0.900756,-50.668442,7.3357978,54024.621,0.97356302,6.3555632,1.0914479,0.932818,7.3465729,-17.347589,11.252389,10.400442,5388422.5,7.2571559,-28.528275,6.8122182,-54.817348,0.85065001,1.70909,43116.672,44.069977,1.122185,-22.617451,162721.39,1.06734,8.3775959,-37.059059,7.066565,106007.25,46.771275,-88.078285,-22.308996,-8.8409662,1.029896,1.160947,41.461838,79357.398,1.078445,9.7015476,150553,1.0550441,4.1870151,0.92050803,3.1564369,37541.246,16.055914,5095925.5,13.805485,20.02277,61514.402,75.931061,89.624252,1.15293
